日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-03-06,'601598,中国外运,6.35,6.35,5.71,5.79,5.77,0.58,10.052,15.9192,215170278,1332607576.0,46995104606.2,8582896416.85
2019-03-05,'601598,中国外运,5.77,5.78,5.51,5.6,5.65,0.12,2.1239,11.5179,155679774,883450383.0,42702638358.8,7798946822.87
2019-03-04,'601598,中国外运,5.65,5.82,5.3,5.33,5.29,0.36,6.8053,16.7832,226848144,1275669483.0,41814541893.8,7636750355.15
2019-03-01,'601598,中国外运,5.29,5.34,4.88,5.05,5.05,0.24,4.7525,9.1096,123129156,621284847.0,39150252498.8,7150160951.99
2019-02-28,'601598,中国外运,5.05,5.3,5.03,5.25,5.23,-0.18,-3.4417,7.6746,103733281,532583950.0,37374059568.8,6825768016.55
2019-02-27,'601598,中国外运,5.23,5.52,5.02,5.05,5.2,0.03,0.5769,13.1786,178126757,926770652.0,38706204266.2,7069062718.13
2019-02-26,'601598,中国外运,5.2,5.25,4.73,4.8,4.77,0.43,9.0147,17.0195,230042062,1187143017.0,38484180150.0,7028513601.2
2019-02-25,'601598,中国外运,4.77,4.79,4.56,4.58,4.56,0.21,4.6053,8.9932,121555286,569895949.0,35301834483.8,6447309591.87
2019-02-22,'601598,中国外运,4.56,4.56,4.42,4.47,4.49,0.07,1.559,4.3081,58229341,261134983.0,33747665670.0,6163465773.36
2019-02-21,'601598,中国外运,4.49,4.57,4.46,4.54,4.54,-0.05,-1.1013,4.5286,61209724,276962544.0,33229609398.8,6068851167.19
2019-02-20,'601598,中国外运,4.54,4.59,4.48,4.57,4.61,-0.07,-1.5184,4.621,62459808,283289621.0,33599649592.5,6136433028.74
2019-02-19,'601598,中国外运,4.61,4.81,4.41,4.42,4.42,0.19,4.2986,9.8011,132475598,609388703.0,34117705863.8,6231047634.91
2019-02-18,'601598,中国外运,4.42,4.43,4.33,4.34,4.32,0.1,2.3148,4.7908,64754537,284074737.0,32711553127.5,5974236561.02
2019-02-15,'601598,中国外运,4.32,4.4,4.31,4.39,4.41,-0.09,-2.0408,3.9993,54056261,235508516.0,31971472740.0,5839072837.92
2019-02-14,'601598,中国外运,4.41,4.45,4.36,4.42,4.44,-0.03,-0.6757,4.2858,57928631,254735761.0,32637545088.8,5960720188.71
2019-02-13,'601598,中国外运,4.44,4.49,4.34,4.38,4.37,0.07,1.6018,5.5966,75645125,333576643.0,32859569205.0,6001269305.64
2019-02-12,'601598,中国外运,4.37,4.4,4.32,4.33,4.4,-0.03,-0.6818,3.7837,51141975,222974455.0,32341512933.8,5906654699.47
2019-02-11,'601598,中国外运,4.4,4.43,4.16,4.21,4.2,0.2,4.7619,5.4499,73662965,315448277.0,32563537050.0,5947203816.4
2019-02-01,'601598,中国外运,4.2,4.23,4.11,4.13,4.09,0.11,2.6895,3.3952,45890740,192134569.0,31083376275.0,5676876370.2
2019-01-31,'601598,中国外运,4.09,4.36,4.04,4.32,4.35,-0.26,-5.977,5.5788,75405494,316350790.0,30269287848.8,5528196274.79
2019-01-30,'601598,中国外运,4.35,4.45,4.25,4.28,4.32,0.03,0.6944,3.8336,51816287,226122420.0,32193496856.2,5879621954.85
2019-01-29,'601598,中国外运,4.32,4.52,4.25,4.5,4.55,-0.23,-5.0549,5.9935,81010139,352349007.0,31971472740.0,5839072837.92
2019-01-28,'601598,中国外运,4.55,4.87,4.52,4.8,4.78,-0.23,-4.8117,7.3109,98816428,463572859.0,33673657631.2,6149949401.05
2019-01-25,'601598,中国外运,4.78,4.94,4.75,4.88,4.92,-0.14,-2.8455,8.1599,110291755,531706815.0,35375842522.5,6460825964.18
2019-01-24,'601598,中国外运,4.92,5.18,4.92,5.11,5.2,-0.28,-5.3846,12.6651,171186758,866673895.0,36411955065.0,6650055176.52
2019-01-23,'601598,中国外运,5.2,5.27,5.04,5.15,5.19,0.01,0.1927,14.0124,189397168,978171622.0,38484180150.0,7028513601.2
2019-01-22,'601598,中国外运,5.19,5.38,5.1,5.25,5.38,-0.19,-3.5316,15.9848,216056327,1129668599.0,38410172111.2,7014997228.89
2019-01-21,'601598,中国外运,5.38,5.38,5.02,5.05,4.89,0.49,10.0204,20.2809,274124168,1417253068.0,39816324847.5,7271808302.78
2019-01-18,'601598,中国外运,4.89,5.7,4.77,5.3,5.24,-0.35,-6.6794,23.5533,318354563,1633168097.0,36189930948.8,6609506059.59
